PROPGEOM
KP505
forKCS
0.250 0.045 5 0.800
11	27
0.180  0.231300  0.834700 -0.010944  -4.720  0.028448  0.198227
0.250  0.261800  0.891200 -0.017279  -6.980  0.029641  0.155500
0.300  0.280900  0.926900 -0.020134  -7.820  0.029477  0.132147
0.400  0.313800  0.978300 -0.021033  -7.740  0.026769  0.097100
0.500  0.340300  1.007900 -0.015566  -5.560  0.022010  0.072260
0.600  0.357300  1.013000 -0.004221  -1.500  0.017324  0.054492
0.700  0.359000  0.996700  0.011379   4.110  0.014039  0.041560
0.800  0.337600  0.956600  0.027848  10.480  0.011996  0.031783
0.900  0.279700  0.900600  0.042954  17.170  0.010440  0.024777
0.950  0.222500  0.868300  0.049758  20.630  0.010067  0.023730
1.000  0.000100  0.833100  0.055957  24.180  8.700000  0.022684
0.000000  0.000000  0.000000
0.005000  0.014385 -0.011979
0.007500  0.017789 -0.014403
0.012500  0.023275 -0.018115
0.025000  0.033572 -0.024548
0.050000  0.048669 -0.033239
0.075000  0.060456 -0.039649
0.100000  0.070375 -0.044874
0.150000  0.086492 -0.053100
0.200000  0.099185 -0.059397
0.250000  0.108975 -0.063998
0.300000  0.116483 -0.067353
0.350000  0.121961 -0.069606
0.400000  0.125515 -0.070809
0.450000  0.127223 -0.071004
0.500000  0.126808 -0.069912
0.550000  0.124427 -0.067696
0.600000  0.120074 -0.064396
0.650000  0.113721 -0.060045
0.700000  0.105281 -0.054689
0.750000  0.094702 -0.048497
0.800000  0.081639 -0.041658
0.850000  0.065624 -0.034758
0.900000  0.047409 -0.027006
0.950000  0.027531 -0.017784
0.975000  0.017169 -0.012486
1.000000  0.006601 -0.006601
0.000000  0.000000  0.000000
0.005000  0.011595 -0.009087
0.007500  0.014390 -0.010863
0.012500  0.018923 -0.013546
0.025000  0.027497 -0.018095
0.050000  0.040165 -0.024088
0.075000  0.050104 -0.028424
0.100000  0.058489 -0.031919
0.150000  0.072148 -0.037355
0.200000  0.082928 -0.041472
0.250000  0.091276 -0.044414
0.300000  0.097701 -0.046511
0.350000  0.102413 -0.047862
0.400000  0.105504 -0.048504
0.450000  0.107038 -0.048462
0.500000  0.106800 -0.047518
0.550000  0.104911 -0.045800
0.600000  0.101361 -0.043348
0.650000  0.096119 -0.040192
0.700000  0.089101 -0.036388
0.750000  0.080238 -0.032095
0.800000  0.069189 -0.027532
0.850000  0.055453 -0.023292
0.900000  0.039817 -0.018558
0.950000  0.022851 -0.012696
0.975000  0.014071 -0.009192
1.000000  0.005178 -0.005178
0.000000  0.000000  0.000000
0.005000  0.010035 -0.007541
0.007500  0.012484 -0.008976
0.012500  0.016470 -0.011123
0.025000  0.024048 -0.014698
0.050000  0.035296 -0.019307
0.075000  0.044147 -0.022587
0.100000  0.051627 -0.025203
0.150000  0.063829 -0.029229
0.200000  0.073472 -0.032245
0.250000  0.080957 -0.034354
0.300000  0.086730 -0.035823
0.350000  0.090978 -0.036729
0.400000  0.093781 -0.037097
0.450000  0.095200 -0.036947
0.500000  0.095048 -0.036094
0.550000  0.093430 -0.034647
0.600000  0.090334 -0.032642
0.650000  0.085728 -0.030111
0.700000  0.079532 -0.027110
0.750000  0.071670 -0.023793
0.800000  0.061811 -0.020384
0.850000  0.049451 -0.017468
0.900000  0.035374 -0.014233
0.950000  0.020154 -0.010055
0.975000  0.012311 -0.007459
1.000000  0.004400 -0.004400
0.000000  0.000000  0.000000
0.005000  0.007589 -0.005325
0.007500  0.009477 -0.006292
0.012500  0.012565 -0.007709
0.025000  0.018480 -0.009989
0.050000  0.027321 -0.012801
0.075000  0.034307 -0.014728
0.100000  0.040225 -0.016229
0.150000  0.049900 -0.018478
0.200000  0.057560 -0.020120
0.250000  0.063526 -0.021204
0.300000  0.068140 -0.021910
0.350000  0.071552 -0.022286
0.400000  0.073822 -0.022346
0.450000  0.075000 -0.022100
0.500000  0.074950 -0.021412
0.550000  0.073746 -0.020363
0.600000  0.071377 -0.018985
0.650000  0.067813 -0.017305
0.700000  0.062983 -0.015377
0.750000  0.056812 -0.013333
0.800000  0.049009 -0.011388
0.850000  0.039108 -0.010064
0.900000  0.027825 -0.008626
0.950000  0.015684 -0.006513
0.975000  0.009466 -0.005060
1.000000  0.003233 -0.003233
0.000000  0.000000  0.000000
0.005000  0.005736 -0.003874
0.007500  0.007177 -0.004558
0.012500  0.009540 -0.005548
0.025000  0.014084 -0.007102
0.050000  0.020898 -0.008960
0.075000  0.026295 -0.010197
0.100000  0.030871 -0.011141
0.150000  0.038360 -0.012525
0.200000  0.044296 -0.013512
0.250000  0.048926 -0.014128
0.300000  0.052512 -0.014501
0.350000  0.055170 -0.014662
0.400000  0.056946 -0.014620
0.450000  0.057878 -0.014382
0.500000  0.057865 -0.013845
0.550000  0.056963 -0.013071
0.600000  0.055161 -0.012083
0.650000  0.052436 -0.010907
0.700000  0.048728 -0.009586
0.750000  0.043975 -0.008226
0.800000  0.037939 -0.007006
0.850000  0.030237 -0.006356
0.900000  0.021456 -0.005670
0.950000  0.012030 -0.004489
0.975000  0.007216 -0.003594
1.000000  0.002406 -0.002406
0.000000  0.000000  0.000000
0.005000  0.004357 -0.002891
0.007500  0.005456 -0.003394
0.012500  0.007260 -0.004118
0.025000  0.010736 -0.005241
0.050000  0.015956 -0.006560
0.075000  0.020095 -0.007424
0.100000  0.023605 -0.008076
0.150000  0.029354 -0.009019
0.200000  0.033911 -0.009682
0.250000  0.037469 -0.010080
0.300000  0.040227 -0.010309
0.350000  0.042272 -0.010389
0.400000  0.043641 -0.010327
