TITLE="Rotor Force Harmonic Analysis"
VARIABLES="NNHAR" "CFIP" "CMIP" "CFDP" "CMDP" "CFVP" "CMVP"
ZONE T="BLADE REV=   1" F=POINT, I=  19
  0     0.1641155423357401E+00   0.0000000000000000E+00   0.2343380321029869E-01   0.0000000000000000E+00   0.1513263194748736E+00   0.0000000000000000E+00   0.3912223804178267E-01   0.0000000000000000E+00   0.1513263194748736E+00   0.0000000000000000E+00   0.3912223804178267E-01   0.0000000000000000E+00
  1     0.1180339949686813E+00   0.5578534086424243E+02   0.1589883786643860E-01   0.6086385854560992E+02   0.1253049359321217E+00   0.6203152779522440E+02   0.2014250686863081E-01  -0.1266290308488634E+02   0.1253049359321217E+00   0.6203152779522440E+02   0.2014250686863081E-01  -0.1266290308488634E+02
  2     0.5967536701574387E-01   0.6196841844723094E+02   0.7764153231610612E-02   0.7091206750600432E+02   0.7201081464865508E-01   0.6219935058666515E+02   0.1050504064970561E-01  -0.1139706242647663E+03   0.7201081464865508E-01   0.6219935058666515E+02   0.1050504064970561E-01  -0.1139706242647663E+03
  3     0.1684150531489525E-01   0.1072543577089329E+03   0.2346067177849146E-02   0.1347379343089600E+03   0.1719044790558892E-01   0.7993868287189098E+02   0.1490198945431108E-01  -0.1730732253892894E+03   0.1719044790558892E-01   0.7993868287189098E+02   0.1490198945431108E-01  -0.1730732253892894E+03
  4     0.9977246369525518E-02   0.1454679384564359E+03   0.1743273115278554E-02   0.1727412644244394E+03   0.5444468440060197E-02   0.1500842567361941E+03   0.1185613341213988E-01   0.1522147452851054E+03   0.5444468440060197E-02   0.1500842567361941E+03   0.1185613341213988E-01   0.1522147452851054E+03
  5     0.7198439001727099E-02  -0.1732768775967042E+03   0.1449631147206509E-02  -0.1541869455966558E+03   0.7357661482970583E-02  -0.1455181945398840E+03   0.9214633876992536E-02   0.1149536051296919E+03   0.7357661482970583E-02  -0.1455181945398840E+03   0.9214633876992536E-02   0.1149536051296919E+03
  6     0.5942725238381500E-02  -0.1508781444183701E+03   0.1129813028092370E-02  -0.1369924998542701E+03   0.9584008886978360E-02  -0.1352709619342491E+03   0.8787724862203333E-02   0.6095467030590029E+02   0.9584008886978360E-02  -0.1352709619342491E+03   0.8787724862203333E-02   0.6095467030590029E+02
  7     0.4578420866464642E-02  -0.1392117766149923E+03   0.8519800823130859E-03  -0.1218121522682043E+03   0.9705224504325635E-02  -0.1524252472839974E+03   0.1014714389956707E-01   0.4564966027259304E+01   0.9705224504325635E-02  -0.1524252472839974E+03   0.1014714389956707E-01   0.4564966027259304E+01
  8     0.3274368366749506E-02  -0.1094276099934083E+03   0.6800692484830775E-03  -0.9618032089432518E+02   0.6137830121501782E-02   0.1717915078182094E+03   0.1168795487821691E-01  -0.4717899209319507E+02   0.6137830121501782E-02   0.1717915078182094E+03   0.1168795487821691E-01  -0.4717899209319507E+02
  9     0.2782051388428069E-02  -0.8784998305457630E+02   0.6252444306119030E-03  -0.8142676449409788E+02   0.4193617329122407E-02   0.7891503102689751E+02   0.1200446662049879E-01  -0.9869202143287438E+02   0.4193617329122407E-02   0.7891503102689751E+02   0.1200446662049879E-01  -0.9869202143287438E+02
